都道府県,市区町村,店舗名・施設名,分類,関連リンク1タイトル,関連リンク1URL,関連リンク2タイトル,関連リンク2URL,関連リンク3タイトル,関連リンク3URL,説明・狙い目,公式サイト,Googleマップ
東京都,港区,東京ワンピースタワー,屋内テーマパーク,,,,,,,"特徴・説明：漫画・アニメONE PIECEの常設テーマ施設。2020年7月31日終了。
旧所在地：東京都港区芝公園・東京タワー内
開業年：2015年（竣工・移転等の扱いは特徴・説明参照）
消滅年：2020年
消滅種別：閉園
現在の状態：常設施設は閉園。
資料URL：https://one-piece.com/news/o20200704_11163/index.html | https://one-piece.com/news/o20200709_11187/index.html
Googleマップ検索用名称：東京ワンピースタワー 東京都港区",https://one-piece.com/news/o20200704_11163/index.html,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E3%83%AF%E3%83%B3%E3%83%94%E3%83%BC%E3%82%B9%E3%82%BF%E3%83%AF%E3%83%BC%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA
東京都,港区,青山ベルコモンズ,建築・商業施設,,,,,,,"特徴・説明：吹き抜けを持つ青山のファッションビル。
旧所在地：東京都港区北青山2-14-6
開業年：1976年（竣工・移転等の扱いは特徴・説明参照）
消滅年：2014年
消滅種別：閉館
現在の状態：2014年に閉館。
資料URL：https://www.tamabi.ac.jp/kankyou/kishimoto/tokyo/47_bellcomons/47_bellcomons.htm | https://aoyama-gaienmae.or.jp/wp-content/uploads/2022/12/kinenshi_60.pdf
Googleマップ検索用名称：青山ベルコモンズ 東京都港区",,https://www.google.com/maps/search/?api=1&query=%E9%9D%92%E5%B1%B1%E3%83%99%E3%83%AB%E3%82%B3%E3%83%A2%E3%83%B3%E3%82%BA%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA
東京都,港区,青山ブックセンター六本木店,書店,,,,,,,"特徴・説明：デザイン書や画集で知られた青山ブックセンターの1号店。
旧所在地：東京都港区六本木（番地未確認）
開業年：1980年（竣工・移転等の扱いは特徴・説明参照）
消滅年：2018年
消滅種別：閉店・統合
現在の状態：六本木店は閉店。本店に統合。
資料URL：https://www.itmedia.co.jp/news/spv/1805/07/news089.html
Googleマップ検索用名称：青山ブックセンター六本木店 東京都港区",,https://www.google.com/maps/search/?api=1&query=%E9%9D%92%E5%B1%B1%E3%83%96%E3%83%83%E3%82%AF%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%E5%85%AD%E6%9C%AC%E6%9C%A8%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA
東京都,港区,東京タワー水族館,水族館,,,,,,,"特徴・説明：東京タワー内で営業した水族館。タワー全体の閉鎖ではない。
旧所在地：東京都港区芝公園4-2-8 東京タワー1階
開業年：1978年（竣工・移転等の扱いは特徴・説明参照）
消滅年：2018年
消滅種別：閉館
現在の状態：水族館は閉館。
資料URL：https://www.tsr-net.co.jp/data/detail/1189230_1527.html | https://final-access.jp/12399?doing_wp_cron=1787217260.9769001007080078125000
Googleマップ検索用名称：東京タワー水族館 東京都港区",,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E3%82%BF%E3%83%AF%E3%83%BC%E6%B0%B4%E6%97%8F%E9%A4%A8%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA
東京都,港区,世界貿易センタービル 展望台シーサイドトップ,展望施設,,,,,,,"特徴・説明：東京タワーや湾岸を望めた高層展望台。2021年1月31日終了。
旧所在地：東京都港区浜松町駅前・旧世界貿易センタービル40階
開業年：未確認（竣工・移転等の扱いは特徴・説明参照）
消滅年：2021年
消滅種別：閉館・建替え
現在の状態：旧展望台は閉鎖。旧ビルの再開発に伴うもの。
資料URL：https://toshoken.com/news/21378
Googleマップ検索用名称：世界貿易センタービル 展望台シーサイドトップ 東京都港区",,https://www.google.com/maps/search/?api=1&query=%E4%B8%96%E7%95%8C%E8%B2%BF%E6%98%93%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%E3%83%93%E3%83%AB%20%E5%B1%95%E6%9C%9B%E5%8F%B0%E3%82%B7%E3%83%BC%E3%82%B5%E3%82%A4%E3%83%89%E3%83%88%E3%83%83%E3%83%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA
東京都,港区,東京タワー蝋人形館,博物館・展示施設,,,,,,,"特徴・説明：人物の蝋人形を展示したタワー内の施設。2013年9月1日終了。
旧所在地：東京都港区芝公園・東京タワーフットタウン3階
開業年：未確認（竣工・移転等の扱いは特徴・説明参照）
消滅年：2013年
消滅種別：閉館
現在の状態：蝋人形館は閉館。タワー本体とは別。
資料URL：https://towerup.themedia.jp/posts/423838/ | https://tabikan.jp/spot.php?s=2540
Googleマップ検索用名称：東京タワー蝋人形館 東京都港区",,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E3%82%BF%E3%83%AF%E3%83%BC%E8%9D%8B%E4%BA%BA%E5%BD%A2%E9%A4%A8%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA
東京都,荒川区,東京スタジアム（南千住）,スポーツ施設,,,,,,,"特徴・説明：光の球場と呼ばれた下町のプロ野球場。調布市の東京スタジアムとは別。
旧所在地：東京都荒川区南千住（番地未確認）
開業年：1962年（竣工・移転等の扱いは特徴・説明参照）
消滅年：1972年
消滅種別：閉場
現在の状態：旧球場は閉鎖。NPBの史跡紹介に記録。
資料URL：https://npb.jp/archives/japanesebaseball150th/sights/detail026.html
Googleマップ検索用名称：東京スタジアム（南千住） 東京都荒川区",,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E3%82%B9%E3%82%BF%E3%82%B8%E3%82%A2%E3%83%A0%EF%BC%88%E5%8D%97%E5%8D%83%E4%BD%8F%EF%BC%89%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E8%8D%92%E5%B7%9D%E5%8C%BA
東京都,渋谷区,渋谷会館モナコ,ゲームセンター,,,,,,,"特徴・説明：センター街で長く親しまれたゲームセンター。2013年8月18日営業終了。
旧所在地：東京都渋谷区宇田川町・センター街（番地未確認）
開業年：未確認（竣工・移転等の扱いは特徴・説明参照）
消滅年：2013年
消滅種別：閉店
現在の状態：閉店。
資料URL：https://rocketnews24.com/2013/08/12/358801/
Googleマップ検索用名称：渋谷会館モナコ 東京都渋谷区",,https://www.google.com/maps/search/?api=1&query=%E6%B8%8B%E8%B0%B7%E4%BC%9A%E9%A4%A8%E3%83%A2%E3%83%8A%E3%82%B3%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA
東京都,渋谷区,東京体育館（1956年完成の旧館）,スポーツ施設,,,,,,,"特徴・説明：戦後に建設された旧体育館。1986年12月に全面改築着工。
旧所在地：東京都渋谷区千駄ケ谷（番地未確認）
開業年：1956年（竣工・移転等の扱いは特徴・説明参照）
消滅年：1986年
消滅種別：建替え
現在の状態：現在の体育館へ建替え。旧館での観戦空間は消滅。
資料URL：https://www.tef.or.jp/tmg/history.html
Googleマップ検索用名称：東京体育館（1956年完成の旧館） 東京都渋谷区",https://www.tef.or.jp/tmg/history.html,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E4%BD%93%E8%82%B2%E9%A4%A8%EF%BC%881956%E5%B9%B4%E5%AE%8C%E6%88%90%E3%81%AE%E6%97%A7%E9%A4%A8%EF%BC%89%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA
東京都,渋谷区,天文博物館 五島プラネタリウム,プラネタリウム,,,,,,,"特徴・説明：渋谷の天文教育拠点。2001年3月11日が最終投影。
旧所在地：東京都渋谷区渋谷駅東口・東急文化会館内
開業年：1957年（竣工・移転等の扱いは特徴・説明参照）
消滅年：2001年
消滅種別：閉館
現在の状態：旧施設は閉館。投影機は別施設で保存展示。
資料URL：https://www.tokyu.co.jp/area/shibuya/article/arti-01KGZVF7MVYMMBNTSKYQ9XV6VT/ | https://www.itmedia.co.jp/news/bursts/0102/28/goto.html
Googleマップ検索用名称：天文博物館 五島プラネタリウム 東京都渋谷区",https://www.tokyu.co.jp/area/shibuya/article/arti-01KGZVF7MVYMMBNTSKYQ9XV6VT/,https://www.google.com/maps/search/?api=1&query=%E5%A4%A9%E6%96%87%E5%8D%9A%E7%89%A9%E9%A4%A8%20%E4%BA%94%E5%B3%B6%E3%83%97%E3%83%A9%E3%83%8D%E3%82%BF%E3%83%AA%E3%82%A6%E3%83%A0%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA
東京都,渋谷区,SHIBUYA-AX,ライブハウス,,,,,,,"特徴・説明：大型のスタンディング公演会場。2014年5月31日営業終了。
旧所在地：東京都渋谷区神南2-1-1
開業年：2000年（竣工・移転等の扱いは特徴・説明参照）
消滅年：2014年
消滅種別：閉館
現在の状態：営業終了を公式サイトで確認。
資料URL：https://www.shibuya-ax.com/info.html | https://en.wikipedia.org/wiki/Shibuya-AX
Googleマップ検索用名称：SHIBUYA-AX 東京都渋谷区",https://www.shibuya-ax.com/info.html,https://www.google.com/maps/search/?api=1&query=SHIBUYA-AX%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA
東京都,渋谷区,渋谷パンテオン,映画館,,,,,,,"特徴・説明：東京国際ファンタスティック映画祭の会場としても親しまれた大型映画館。
旧所在地：東京都渋谷区渋谷駅東口・東急文化会館内
開業年：1956年（竣工・移転等の扱いは特徴・説明参照）
消滅年：2003年
消滅種別：閉館
現在の状態：東急文化会館とともに2003年6月30日閉館。
資料URL：https://www.shibukei.com/headline/3447/ | https://report.cinematopics.com/archives/23964
Googleマップ検索用名称：渋谷パンテオン 東京都渋谷区",,https://www.google.com/maps/search/?api=1&query=%E6%B8%8B%E8%B0%B7%E3%83%91%E3%83%B3%E3%83%86%E3%82%AA%E3%83%B3%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA
東京都,渋谷区,NHKスタジオパーク,企業展示施設,,,,,,,"特徴・説明：放送に親しむ体験型施設。休館から再開せず2020年5月11日閉館。
旧所在地：東京都渋谷区神南2-2-1 NHK放送センター内
開業年：未確認（竣工・移転等の扱いは特徴・説明参照）
消滅年：2020年
消滅種別：閉館
現在の状態：閉館。機能の一部は他施設に移転。
資料URL：https://www.nhk-fdn.or.jp/assets/pdf/about/management/jigyouhoukoku_2020.pdf | https://www.nhk-fdn.or.jp/assets/pdf/about/management/2020_jigyou_keikaku.pdf | https://www.museum.or.jp/museum/2176
Googleマップ検索用名称：NHKスタジオパーク 東京都渋谷区",https://www.nhk-fdn.or.jp/assets/pdf/about/management/jigyouhoukoku_2020.pdf,https://www.google.com/maps/search/?api=1&query=NHK%E3%82%B9%E3%82%BF%E3%82%B8%E3%82%AA%E3%83%91%E3%83%BC%E3%82%AF%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA
東京都,渋谷区,電力館,企業展示施設,,,,,,,"特徴・説明：東京電力の体験型PR施設。震災前のリニューアル案内にも後日閉館の注記。
旧所在地：東京都渋谷区神南1-12-10
開業年：1984年（竣工・移転等の扱いは特徴・説明参照）
消滅年：2011年
消滅種別：閉館
現在の状態：閉館。
資料URL：https://www.tepco.co.jp/cc/press/11021003-j.html | https://kaiten-heiten.com/shibuya-denryokukan/
Googleマップ検索用名称：電力館 東京都渋谷区",https://www.tepco.co.jp/cc/press/11021003-j.html,https://www.google.com/maps/search/?api=1&query=%E9%9B%BB%E5%8A%9B%E9%A4%A8%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA
東京都,渋谷区,PARCO劇場（建替え前の旧劇場）,劇場,,,,,,,"特徴・説明：旧渋谷PARCO内の劇場空間を対象とする。
旧所在地：東京都渋谷区宇田川町・旧渋谷PARCO内
開業年：未確認（竣工・移転等の扱いは特徴・説明参照）
消滅年：2016年
消滅種別：閉館・建替え
現在の状態：2016年8月7日で旧劇場終了。建替え後の同名劇場とは区別。
資料URL：https://stage.parco.jp/parcotheater-2016/
Googleマップ検索用名称：PARCO劇場（建替え前の旧劇場） 東京都渋谷区",https://stage.parco.jp/parcotheater-2016/,https://www.google.com/maps/search/?api=1&query=PARCO%E5%8A%87%E5%A0%B4%EF%BC%88%E5%BB%BA%E6%9B%BF%E3%81%88%E5%89%8D%E3%81%AE%E6%97%A7%E5%8A%87%E5%A0%B4%EF%BC%89%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA
東京都,渋谷区,同潤会青山アパートメント,建築・集合住宅,,,,,,,"特徴・説明：震災復興期の集合住宅。後年は小さな店舗も入り、表参道の景観を構成した。竣工年を記載。
旧所在地：東京都渋谷区神宮前4丁目12番周辺
開業年：1927年（竣工・移転等の扱いは特徴・説明参照）
消滅年：2003年
消滅種別：解体・再開発
現在の状態：旧住宅群は再開発。表参道ヒルズの同潤館は再生された部分として区別。
資料URL：https://www.mori.co.jp/projects/omotesandohills/ | https://archive.sumau.com/page_category/parent_information/information/6181.html
Googleマップ検索用名称：同潤会青山アパートメント 東京都渋谷区",https://www.mori.co.jp/projects/omotesandohills/,https://www.google.com/maps/search/?api=1&query=%E5%90%8C%E6%BD%A4%E4%BC%9A%E9%9D%92%E5%B1%B1%E3%82%A2%E3%83%91%E3%83%BC%E3%83%88%E3%83%A1%E3%83%B3%E3%83%88%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA
東京都,渋谷区,同潤会代官山アパートメント,建築・集合住宅,,,,,,,"特徴・説明：樹木に囲まれた震災復興住宅。竣工年と解体着手年を記載。
旧所在地：東京都渋谷区代官山（旧番地未確認）
開業年：1926年（竣工・移転等の扱いは特徴・説明参照）
消滅年：1996年
消滅種別：解体・再開発
現在の状態：旧アパート群は解体。
資料URL：https://daikanyama.life/?p=9065 | https://search.showakan.go.jp/search/book/detail.php?material_cord=000061952
Googleマップ検索用名称：同潤会代官山アパートメント 東京都渋谷区",,https://www.google.com/maps/search/?api=1&query=%E5%90%8C%E6%BD%A4%E4%BC%9A%E4%BB%A3%E5%AE%98%E5%B1%B1%E3%82%A2%E3%83%91%E3%83%BC%E3%83%88%E3%83%A1%E3%83%B3%E3%83%88%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA
東京都,渋谷区,こどもの城,児童施設,,,,,,,"特徴・説明：国立総合児童センター。一般来館は2月1日まで、年度末に閉館。
旧所在地：東京都渋谷区神宮前5-53-1
開業年：1985年（竣工・移転等の扱いは特徴・説明参照）
消滅年：2015年
消滅種別：閉館
現在の状態：こどもの城としての運営は終了。
資料URL：https://kodomono-shiro-weblibrary.jp/manual/report/ | https://kodomono-shiro-weblibrary.jp/manual/report/files/report2014.pdf | https://iko-yo.net/facilities/159
Googleマップ検索用名称：こどもの城 東京都渋谷区",https://kodomono-shiro-weblibrary.jp/manual/report/,https://www.google.com/maps/search/?api=1&query=%E3%81%93%E3%81%A9%E3%82%82%E3%81%AE%E5%9F%8E%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA
東京都,渋谷区,東京都児童会館,児童施設,,,,,,,"特徴・説明：渋谷の大型児童施設。2012年3月の閉館を区立図書館の年表で確認。
旧所在地：東京都渋谷区渋谷1-18-24
開業年：未確認（竣工・移転等の扱いは特徴・説明参照）
消滅年：2012年
消滅種別：閉館
現在の状態：閉館。こどもの城とは別施設。
資料URL：https://www.lib.city.shibuya.tokyo.jp/shibuya/shibuya-history/timeline02/ | https://odekake.info/kanagawa/74_taiken/jidou/jidou.html
Googleマップ検索用名称：東京都児童会館 東京都渋谷区",,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%85%90%E7%AB%A5%E4%BC%9A%E9%A4%A8%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA
東京都,渋谷区,渋谷PARCO（建替え前のパート1・パート3）,商業施設,,,,,,,"特徴・説明：ファッションと文化の発信拠点。開業年はパート1の年。
旧所在地：東京都渋谷区宇田川町（番地未確認）
開業年：1973年（竣工・移転等の扱いは特徴・説明参照）
消滅年：2016年
消滅種別：閉館・建替え
現在の状態：旧館は建替え。現在の渋谷PARCOとは区別。
資料URL：https://www.parco.co.jp/blog/detail/?id=291 | https://www.parco.co.jp/pdf/jp/store/storage/shibuya_parco_last_sale_.pdf
Googleマップ検索用名称：渋谷PARCO（建替え前のパート1・パート3） 東京都渋谷区",https://www.parco.co.jp/blog/detail/?id=291,https://www.google.com/maps/search/?api=1&query=%E6%B8%8B%E8%B0%B7PARCO%EF%BC%88%E5%BB%BA%E6%9B%BF%E3%81%88%E5%89%8D%E3%81%AE%E3%83%91%E3%83%BC%E3%83%881%E3%83%BB%E3%83%91%E3%83%BC%E3%83%883%EF%BC%89%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA
東京都,渋谷区,東急プラザ渋谷（2015年閉館の旧館）,商業施設,,,,,,,"特徴・説明：渋谷東急ビルとして開業した旧施設。2015年3月22日閉館。
旧所在地：東京都渋谷区渋谷駅西口側（旧番地未確認）
開業年：1965年（竣工・移転等の扱いは特徴・説明参照）
消滅年：2015年
消滅種別：閉館・建替え
現在の状態：旧館は建替え。後年開業した同名施設とは区別。
資料URL：https://www.tokyu-land.co.jp/news/pdf/392.pdf | https://www.tokyu-fudosan-hd.co.jp/news/companies/pdf/1506.pdf
Googleマップ検索用名称：東急プラザ渋谷（2015年閉館の旧館） 東京都渋谷区",https://www.tokyu-land.co.jp/news/pdf/392.pdf,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E6%80%A5%E3%83%97%E3%83%A9%E3%82%B6%E6%B8%8B%E8%B0%B7%EF%BC%882015%E5%B9%B4%E9%96%89%E9%A4%A8%E3%81%AE%E6%97%A7%E9%A4%A8%EF%BC%89%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA
